"Title","Year","Director","Country","Status","Source (IMDb Lists)","In Canon","Reason","Tags","Notes"
"The Young and the Damned","1950","Luis Buñuel","Spain","❌ EXCLUDED","100, 158","NO","Spanish director (Buñuel), not Latino","led_by (fails criterion)","Prestigious but Spanish director"
"Dark River","1952","Hugo del Carril","Argentina","✅ IN CANON","","YES","","led_by, about_community, starring",""
"Salt of the Earth","1954","Herbert J. Biberman","US","✅ IN CANON","","YES","","about_community, starring",""
"Macario","1960","Roberto Gavaldón","Mexico","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, breakthrough, starring","Death apparition, peasant"
"The Given Word","1962","Anselmo Duarte","Brazil","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, breakthrough, starring","Vow to Saint Barbara, misunderstanding"
"The Hustlers","1962","Ruy Guerra","Brazil","✅ IN CANON","100, 158","YES","","led_by, about_community","Copacabana thugs, blackmail"
"Tlayucan","1962","Luis Alcoriza","Mexico","⏳ PENDING","100, 158","YES","","led_by, created_by, about_community, starring","Man becomes thief, priest friendship"
"Barren Lives","1963","Nelson Pereira dos Santos","Brazil","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, starring","Cinema Novo, drought, family"
"Black God, White Devil","1964","Glauber Rocha","Brazil","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough",""
"I Am Cuba","1964","Mikheil Kalatozishvili","Soviet Union","❌ EXCLUDED","100, 158","NO","Soviet director despite Cuban subject matter","led_by (fails criterion)","Soviet director, though about Cuba"
"Men and Women","1964","Walter Hugo Khouri","Brazil","✅ IN CANON","100, 158","YES","Wrote+directed solo; Lebanese/Italian-Brazilian descent","led_by, created_by","Two couples, prostitutes, night"
"São Paulo Sociedade Anônima","1965","Luiz Sérgio Person","Brazil","✅ IN CANON","100, 158","YES","Cinema Novo classic, ranked 7th best Brazilian film","led_by, about_community","Man conflict, São Paulo backdrop"
"Memories of Underdevelopment","1968","Tomás Gutiérrez Alea","Cuba","✅ IN CANON","100, 158","YES","","led_by, created_by, about_community, breakthrough, starring","Cuban man, pre-revolutionary era"
"The Hour of the Furnaces","1968","Octavio Getino, Fernando E. Solanas","Argentina","✅ IN CANON","","YES","","led_by, created_by, about_community, breakthrough",""
"Invasion","1969","Hugo Santiago","Argentina","✅ IN CANON","","YES","","led_by, created_by, about_community, starring",""
