"Title","Year","Director","Country","Heritage Verified","About Community","Breakthrough","Critical Acclaim","Decision","Notes","Session"
"The Hustlers","1962","Ruy Guerra","Brazil","⏳","⏳","⏳","⏳","✅ ADD","Cinema Novo figure","1"
"Tlayucan","1962","Luis Alcoriza","Mexico","⏳","⏳","⏳","⏳","","Major Mexican director",""
"Men and Women","1964","Walter Hugo Khouri","Brazil","⏳","⏳","⏳","⏳","","Verify about_community",""
"São Paulo Sociedade Anônima","1965","Luiz Sérgio Person","Brazil","⏳","⏳","⏳","⏳","","Cinema Novo figure",""
"The Holy Mountain","1973","Alejandro Jodorowsky","Chile","✓","❌","⏳","✓","HOLD","Surreal; about_community ambiguous",""
"The Truce","1974","Sergio Renán","Argentina","⏳","⏳","⏳","⏳","","Argentine master",""
"A Queda","1978","Ruy Guerra / Nelson Xavier","Brazil","⏳","⏳","⏳","⏳","✅ ADD","Co-directed; Cinema Novo pioneers","1"
"The City and the Dogs","1985","Francisco J. Lombardi","Peru","⏳","⏳","✓","⏳","","Military academy; cadet rebellion",""
"Four Days in September","1997","Bruno Barreto","Brazil","⏳","⏳","⏳","⏳","","Urban guerrilla; political thriller","1"
"Martín (Hache)","1997","Adolfo Aristarain","Argentina","✓","✓","⏳","✓","✅ ADD","By Son of the Bride director","1"
"Foolish Heart","1998","Hector Babenco","Argentina","✓","⏳","⏳","⏳","","By Kiss of Spider Woman director",""
"Captain Pantoja and the Special Services","1999","Francisco J. Lombardi","Peru","⏳","⏳","⏳","⏳","","Unique comedic tone",""
"A Dog's Will","2000","Guel Arraes","Brazil","⏳","✓","⏳","⏳","","Trickster folklore; cultural icon",""
"Brainstorm","2000","Laís Bodansky","Brazil","⏳","✓","⏳","⏳","","Mental illness + teenage perspective",""
"Burnt Money","2000","Marcelo Piñeyro","Argentina","⏳","⏳","⏳","⏳","","Crime + character study","2"
"Behind the Sun","2001","Walter Salles","Brazil","✓","✓","⏳","✓","✅ ADD","By Central Station director","1"
"The Swamp","2001","Lucrecia Martel","Argentina","⏳","⏳","⏳","⏳","","Female director; abstract style","2"
"Common Ground","2002","Adolfo Aristarain","Argentina","✓","⏳","⏳","⏳","✅ ADD","Aging/retirement crisis","1"
"Intimate Stories","2002","Carlos Sorin","Argentina","⏳","⏳","⏳","⏳","","Ensemble; regional Patagonia","2"
"Valentin","2002","Alejandro Agresti","Argentina","⏳","⏳","⏳","⏳","","8-year-old protagonist; family","2"
"Whisky","2004","Juan Pablo Rebella / Pablo Stoll","Uruguay","⏳","⏳","⏳","⏳","","Uruguayan cinema; minimalist",""
"Cinema Aspirins and Vultures","2005","Marcelo Gomes","Brazil","⏳","⏳","⏳","⏳","","1942 backlands; German-Brazilian",""
"On Probation","2005","Damián Szifron","Argentina","✓","⏳","⏳","⏳","✅ ADD","By Wild Tales director","1"
