country,title,year,kind,director,why_it_matters,status
Argentina,Zama,2017,film,Lucrecia Martel,Regional influence and aesthetic innovation,IN_CANON
Argentina,La Ciénaga,2001,film,Lucrecia Martel,Martel's directorial debut and regional significance,IN_CANON
Bolivia,Blood of the Condor,1969,film,Jorge Sanjinés,Indigenous/community-centered cinema pioneer,IN_CANON
Bolivia,The Principal Enemy,1974,film,Jorge Sanjinés,Sanjinés's critical documentary work,IN_CANON
Bolivia,The Courage of the People,1971,film,Jorge Sanjinés,Indigenous activism documentary,IN_CANON
Bolivia,Cuestión de fe,1995,film,Unknown,Emerging Bolivian cinema,IN_CANON
Bolivia,I Am the Other,1986,film,Unknown,Indigenous representation,NOT_ON_TMDB
Bolivia,Utama,2022,film,Alejandro Fuentes,Contemporary Andean cinema,IN_CANON
Brazil,Limite,1931,film,Mario Peixoto,Silent cinema and experimental form,IN_CANON
Brazil,Terra em Transe,1967,film,Glauber Rocha,Cinema Novo political allegory,IN_CANON
Brazil,Pixote,1980,film,Héctor Babenco,Urban street life and child exploitation,IN_CANON
Brazil,The Second Mother,2015,film,Anna Muylaert,Class and domestic labor,IN_CANON
Brazil,Bacurau,2019,film,Kleber Mendonça Filho,Contemporary Brazilian cinema,IN_CANON
Chile,The Battle of Chile,1975–1979,film,Patricio Guzmán,Coup memory and documentary,IN_CANON
Chile,Manuel Rodríguez,1977,film,Unknown,Democratic transition,REMOVED
Chile,The Wolf House,2018,film,Cristóbal León & Joaquín Cociña,Animation and genre,IN_CANON
Chile,Nostalgia for the Light,2010,film,Patricio Guzmán,Post-conflict memory,IN_CANON
Colombia,The Strategy of the Snail,1993,film,Sergio Cabrera,Urban inequality,IN_CANON
Colombia,La vendedora de rosas,1998,film,Víctor Gaviria,Urban precarity and gender,IN_CANON
Colombia,The Wind Journeys,2009,film,Francisco Césari,Regional cultures,IN_CANON
Colombia,The Embrace of the Serpent,2015,film,Cary Joji Fukunaga,Indigenous cosmology,IN_CANON
Colombia,Birds of Passage,2018,film,Cristina Gallego & Ciro Guerra,Armed conflict and regional identity,IN_CANON
Colombia,Monos,2019,film,Alejandro Landes,Armed conflict and youth,IN_CANON
Costa Rica,The Return,2011,film,Álvaro Jiménez,Emerging Central American cinema,IN_CANON
Costa Rica,Caribe,2004,film,Unknown,Central American identity,IN_CANON
Costa Rica,Viaje,2015,film,Unknown,Rural life and travel,IN_CANON
